aX,aY,aZ,gX,gY,gZ
-1.733,0.366,-0.465,438.599,58.777,128.296
-1.412,0.442,-0.559,417.236,67.932,98.999
-0.983,0.448,-0.599,418.213,78.674,96.741
-0.470,0.346,-0.515,421.021,89.355,123.169
0.120,0.094,-0.438,394.653,81.970,158.691
1.119,-0.460,-0.536,319.580,50.049,194.214
2.552,-1.125,-0.872,221.985,13.245,201.477
3.872,-1.567,-1.215,138.123,18.982,167.236
4.000,-1.605,-1.520,104.248,90.698,127.136
4.000,-1.591,-1.221,138.977,193.542,117.798
4.000,-1.642,-0.274,177.185,292.908,146.484
4.000,-1.587,0.674,166.748,364.258,167.114
4.000,-1.442,1.490,104.309,400.024,157.288
3.899,-1.153,2.296,25.330,395.264,133.789
2.814,-0.851,2.908,-20.203,344.666,103.821
1.845,-0.556,3.093,-11.108,247.131,66.772
1.170,-0.475,2.842,36.377,117.188,38.147
1.103,-0.494,2.170,75.806,-23.926,21.362
1.446,-0.607,1.276,79.163,-151.978,5.249
1.857,-0.672,0.371,50.720,-245.422,-8.667
2.205,-0.694,-0.255,19.287,-292.053,-18.860
2.371,-0.774,-0.573,4.761,-296.570,-18.799
2.287,-0.883,-0.676,-6.104,-276.550,-16.113
2.134,-0.982,-0.651,-32.349,-252.136,-22.095
1.954,-1.063,-0.590,-72.083,-228.271,-34.485
1.778,-1.171,-0.466,-113.770,-205.383,-49.255
1.576,-1.253,-0.312,-150.452,-190.186,-64.270
1.445,-1.287,-0.160,-180.481,-182.434,-80.017
1.330,-1.233,-0.010,-205.933,-178.772,-94.849
1.174,-1.091,0.116,-229.919,-174.927,-107.422
1.030,-0.900,0.190,-258.179,-170.410,-116.028
0.895,-0.667,0.259,-294.800,-162.048,-117.920
0.646,-0.451,0.305,-342.529,-146.606,-115.173
0.404,-0.298,0.389,-405.762,-126.831,-109.924
0.189,-0.228,0.500,-480.652,-108.887,-105.164
-0.004,-0.269,0.585,-555.847,-91.187,-104.797
-0.256,-0.327,0.597,-616.699,-72.876,-109.558
-0.417,-0.275,0.661,-652.893,-57.129,-117.432
-0.702,-0.088,0.805,-667.847,-48.523,-119.873
-0.978,-0.001,0.914,-672.729,-50.598,-109.375
-1.191,0.071,0.938,-663.818,-70.007,-101.501
-1.296,0.015,0.733,-626.831,-99.304,-97.778
-1.359,0.072,0.440,-555.115,-124.878,-90.881
-1.540,0.204,0.180,-457.764,-141.174,-72.998
-1.609,0.315,0.073,-355.408,-145.569,-41.321
-1.591,0.398,0.108,-271.973,-151.794,-5.188
-1.652,0.364,0.185,-220.154,-162.048,24.902
-1.619,0.224,0.214,-199.890,-169.495,44.495
-1.658,0.005,0.125,-203.186,-170.532,42.603
-1.669,-0.223,0.025,-217.834,-163.025,14.587
-1.641,-0.359,-0.146,-237.671,-142.334,-35.034
-1.714,-0.288,-0.221,-258.484,-113.586,-96.802
-1.673,-0.060,-0.160,-269.592,-92.651,-154.602
-1.578,0.279,-0.004,-270.752,-87.219,-194.153
-1.511,0.550,0.121,-259.216,-98.083,-202.332
-1.449,0.644,0.152,-226.440,-115.173,-182.739
-1.408,0.648,0.124,-173.950,-124.878,-149.963
-1.344,0.615,0.072,-117.554,-126.648,-116.333
-1.231,0.548,-0.005,-70.862,-119.568,-89.417
-1.149,0.496,-0.054,-45.166,-101.807,-76.416
-1.187,0.427,-0.072,-42.419,-78.918,-80.811
-1.189,0.419,0.003,-53.162,-62.988,-94.482
-1.189,0.487,0.092,-63.477,-60.547,-110.901
-1.144,0.601,0.118,-67.322,-68.115,-119.690
-1.064,0.739,0.042,-64.026,-80.017,-115.356
