aX,aY,aZ,gX,gY,gZ
-0.066,4.000,-1.878,-299.805,365.234,545.105
0.680,4.000,-1.429,-104.431,437.195,613.281
1.111,4.000,-0.483,-29.175,469.421,649.536
1.101,3.773,0.794,-51.331,456.421,664.917
0.827,2.540,1.898,-93.811,399.780,644.836
0.619,2.304,2.010,-118.103,268.494,565.002
1.294,3.144,0.763,-137.329,83.557,462.402
2.576,3.808,-0.837,-170.288,-69.031,399.109
3.484,3.495,-1.908,-213.867,-109.680,370.728
3.773,2.818,-2.438,-233.398,-79.529,354.004
3.952,2.238,-2.669,-205.444,-39.368,329.407
3.971,1.655,-2.284,-154.358,4.639,297.791
3.562,1.018,-1.470,-112.854,50.598,261.963
3.177,0.402,-0.599,-98.083,72.266,212.891
2.784,-0.168,0.178,-119.690,60.852,151.062
2.348,-0.606,0.726,-139.954,29.602,94.849
1.872,-0.927,0.818,-128.357,10.254,60.242
1.380,-0.853,0.614,-86.853,28.259,26.550
0.643,-0.525,0.709,-38.818,48.462,-13.672
-0.038,-0.166,0.831,-12.268,48.828,-46.997
-0.583,0.249,0.772,-3.418,33.020,-69.824
-0.978,0.675,0.631,3.601,13.733,-78.247
-1.201,0.833,0.516,6.287,-1.404,-72.815
-1.405,0.847,0.544,-2.502,-12.817,-69.763
-1.554,0.822,0.564,-13.306,-25.452,-69.397
-1.586,0.785,0.385,-14.465,-44.128,-65.491
-1.538,0.786,-0.009,-4.578,-62.622,-59.143
-1.512,0.788,-0.512,10.254,-70.984,-49.622
-1.480,0.830,-0.904,21.240,-63.232,-39.124
-1.426,0.872,-1.036,27.344,-43.823,-25.940
-1.435,0.747,-0.923,24.536,-19.958,-8.728
-1.354,0.553,-0.754,11.108,-4.089,2.380
-1.190,0.331,-0.617,-2.869,3.967,5.859
-1.075,0.099,-0.450,-8.118,13.062,6.897
-1.021,-0.064,-0.315,-1.099,20.081,6.042
-1.016,-0.067,-0.253,12.512,22.278,1.709
-1.041,-0.002,-0.262,28.015,19.287,-1.892
-1.036,0.109,-0.325,41.443,14.709,-2.075
-0.991,0.217,-0.380,46.936,10.742,-0.916
-0.938,0.331,-0.384,41.870,8.606,-0.610
-0.857,0.371,-0.358,34.851,7.935,0.977
-0.793,0.341,-0.326,28.687,9.521,1.892
-0.766,0.286,-0.283,23.621,13.489,-0.183
-0.765,0.235,-0.246,22.888,18.250,-4.028
-0.791,0.170,-0.222,28.259,22.888,-7.629
-0.831,0.110,-0.190,36.987,25.757,-10.193
-0.857,0.073,-0.153,47.119,26.489,-13.306
-0.863,0.122,-0.110,57.861,26.184,-17.273
-0.866,0.246,-0.075,64.819,25.146,-19.775
-0.886,0.323,-0.061,62.073,22.461,-19.287
-0.900,0.347,-0.062,51.575,18.738,-19.653
