aX,aY,aZ,gX,gY,gZ
-0.486,-0.088,0.868,9.888,5.615,0.732
-0.486,-0.072,0.886,4.883,8.057,1.831
-0.479,-0.066,0.902,-2.075,10.437,3.174
-0.469,-0.082,0.934,-7.812,12.207,4.211
-0.463,-0.125,0.978,-11.108,12.390,4.639
-0.473,-0.157,1.022,-10.376,9.949,3.540
-0.476,-0.173,1.039,-6.897,3.723,1.160
-0.463,-0.182,1.017,-1.831,-4.944,-1.038
-0.443,-0.175,0.972,4.822,-12.695,-2.258
-0.428,-0.154,0.912,9.705,-17.212,-3.418
-0.414,-0.127,0.869,10.437,-17.883,-4.944
-0.402,-0.097,0.834,6.287,-14.587,-5.981
-0.393,-0.073,0.824,-0.366,-8.728,-6.042
-0.409,-0.062,0.848,-6.348,-1.892,-5.066
-0.422,-0.073,0.877,-9.949,2.869,-3.235
-0.428,-0.102,0.915,-10.681,4.211,-1.831
-0.448,-0.137,0.951,-7.935,2.441,-1.282
-0.443,-0.159,0.962,-2.869,-2.502,-1.770
-0.442,-0.159,0.942,3.113,-9.216,-3.662
-0.434,-0.131,0.894,8.423,-15.381,-6.042
-0.423,-0.095,0.840,10.742,-19.104,-7.446
-0.397,-0.067,0.788,9.705,-18.616,-7.690
-0.391,-0.050,0.759,6.042,-13.184,-7.141
-0.396,-0.047,0.756,-0.061,-4.700,-5.920
-0.403,-0.045,0.782,-6.287,3.540,-4.883
-0.413,-0.055,0.838,-10.742,9.766,-3.296
-0.429,-0.079,0.896,-12.817,12.573,-2.258

-1.798,-0.001,0.848,25.085,-1.648,59.387
-2.021,-0.006,0.757,36.011,-8.850,64.636
-2.302,0.052,0.663,42.114,-13.672,65.186
-2.541,0.180,0.620,43.884,-13.428,63.477
-2.652,0.322,0.610,41.565,-12.146,61.890
-2.645,0.418,0.616,36.194,-10.925,65.613
-2.517,0.390,0.624,32.288,-9.583,75.134
-2.394,0.274,0.635,39.185,-10.864,89.417
-2.299,0.112,0.624,60.608,-14.404,103.516
-2.194,-0.023,0.636,90.393,-19.470,108.887
-2.109,-0.136,0.620,119.568,-27.466,106.628
-1.996,-0.190,0.550,137.024,-38.696,97.412
-1.748,-0.198,0.470,138.062,-51.331,82.886
-1.425,-0.228,0.346,126.099,-64.026,70.129
-1.026,-0.249,0.178,107.544,-70.679,60.364
-0.535,-0.213,0.019,91.370,-66.895,56.641
-0.051,-0.167,-0.065,85.510,-47.974,61.340
0.327,-0.132,-0.027,88.318,-11.963,72.327
0.791,-0.120,0.220,91.553,27.771,85.388
1.166,-0.106,0.562,95.886,61.829,96.802
1.448,-0.138,0.829,94.666,86.243,110.596
1.842,-0.194,0.958,76.721,93.872,125.000
2.354,-0.231,0.995,44.983,91.187,132.629
2.838,-0.293,1.042,6.958,95.764,127.502
3.155,-0.473,1.139,-33.142,119.995,107.361
3.204,-0.502,1.368,-65.796,166.565,65.063
3.127,-0.254,1.777,-82.275,217.896,5.432
3.032,0.190,2.277,-75.623,246.521,-44.373
2.804,0.603,2.702,-45.044,243.103,-60.425
2.522,0.815,2.812,0.793,211.121,-40.588
2.306,0.871,2.772,43.457,160.889,-4.456
2.104,0.724,2.629,69.946,98.572,27.527
2.015,0.375,2.368,72.266,26.733,48.218
2.109,-0.030,2.000,49.377,-46.265,52.795
2.272,-0.367,1.647,12.512,-111.877,39.368
2.348,-0.606,1.390,-21.545,-164.856,13.367
2.343,-0.783,1.145,-38.940,-205.322,-15.686
2.295,-0.871,0.870,-36.438,-235.657,-42.297
2.200,-0.843,0.608,-20.264,-257.324,-63.599
2.017,-0.710,0.374,0.671,-266.846,-80.383
1.740,-0.519,0.186,17.578,-262.634,-91.919
1.366,-0.356,0.067,21.973,-248.596,-94.421
0.983,-0.256,0.009,9.583,-227.661,-91.064
0.590,-0.243,-0.012,-17.395,-203.857,-89.478
0.162,-0.322,-0.062,-50.049,-180.115,-93.140
-0.179,-0.353,-0.068,-77.026,-159.302,-101.196
-0.433,-0.335,-0.065,-88.379,-140.381,-110.901
-0.574,-0.276,-0.040,-85.327,-121.338,-117.737
-0.672,-0.192,-0.009,-74.951,-102.539,-117.676
-0.938,-0.127,-0.035,-64.026,-82.642,-114.319
-1.176,-0.017,-0.017,-59.631,-61.218,-115.906
-1.607,0.100,-0.068,-56.946,-41.077,-121.826
-1.890,0.266,-0.122,-57.922,-23.560,-130.554
-1.938,0.451,-0.136,-53.711,-8.423,-140.564
-1.935,0.559,-0.113,-39.185,7.629,-139.160
-1.934,0.545,-0.015,-18.372,31.067,-122.253
-1.982,0.425,0.128,2.625,58.655,-95.947
-2.010,0.234,0.284,19.348,79.529,-70.801
-1.920,0.050,0.434,25.940,89.050,-56.396
-1.787,-0.049,0.550,20.142,89.294,-54.260
-1.645,-0.075,0.621,2.991,84.778,-60.364
-1.468,-0.004,0.637,-20.569,79.285,-71.960
-1.297,0.090,0.654,-42.297,75.134,-82.031
-1.231,0.161,0.684,-52.734,74.341,-84.961
-1.225,0.185,0.682,-49.927,70.557,-77.026
-1.231,0.130,0.683,-34.424,60.791,-55.847
-1.205,-0.002,0.695,-12.817,47.974,-28.503
-1.160,-0.147,0.726,6.470,35.034,-5.981
-1.113,-0.275,0.743,21.545,22.583,7.080
-1.024,-0.360,0.763,33.386,11.963,10.132
-0.958,-0.367,0.762,41.077,6.042,3.906
-0.912,-0.278,0.773,41.687,5.981,-8.179
-0.886,-0.122,0.796,35.217,10.193,-21.606
-0.886,0.049,0.833,24.536,15.442,-31.067
-0.890,0.187,0.855,12.207,17.456,-33.813
-0.861,0.260,0.866,1.587,15.015,-30.334
-0.844,0.257,0.858,-4.211,10.925,-22.400
-0.815,0.199,0.853,-5.493,7.690,-13.184
-0.793,0.134,0.860,-2.136,4.272,-5.432
-0.772,0.065,0.856,4.639,0.610,1.099
-0.735,-0.007,0.842,13.611,-2.991,7.202
-0.690,-0.038,0.821,22.400,-5.188,10.132
-0.666,-0.053,0.811,27.222,-4.150,9.827
-0.638,-0.037,0.817,24.780,-0.671,7.263
-0.642,-0.022,0.865,15.747,4.517,2.441
-0.646,-0.016,0.895,0.549,7.446,-2.380
-0.626,-0.021,0.879,-15.137,4.333,-6.775
-0.598,-0.020,0.830,-25.146,-0.122,-10.193
-0.569,-0.012,0.771,-26.611,-2.197,-10.925
-0.552,0.001,0.734,-18.921,-2.319,-8.545
-0.533,0.011,0.717,-5.920,0.000,-3.845
-0.541,-0.002,0.719,7.385,5.005,3.357
-0.558,-0.017,0.752,15.564,10.681,9.521
-0.571,-0.033,0.815,15.808,13.489,12.024
-0.562,-0.053,0.879,8.606,13.306,11.841
-0.559,-0.075,0.914,-1.648,9.705,8.484
-0.560,-0.085,0.906,-11.597,4.150,3.906
-0.564,-0.078,0.883,-17.700,-0.732,-0.427
-0.559,-0.072,0.848,-17.090,-4.028,-2.991
-0.550,-0.072,0.812,-11.536,-5.615,-2.686
-0.541,-0.056,0.779,-3.967,-5.188,-0.916
-0.539,-0.028,0.763,3.052,-2.014,2.563
-0.530,-0.012,0.779,6.897,3.540,7.202
-0.531,-0.002,0.851,6.226,9.644,10.986
-0.558,-0.006,0.942,0.671,12.329,13.489
-0.571,-0.038,0.994,-7.385,8.789,14.832
-0.564,-0.084,0.999,-14.343,0.427,14.343
-0.549,-0.129,0.962,-16.663,-8.057,11.841
-0.541,-0.144,0.888,-13.367,-14.587,8.057
-0.523,-0.115,0.821,-7.629,-17.883,4.211
-0.512,-0.083,0.761,-2.502,-17.029,1.892
-0.511,-0.053,0.725,0.183,-11.597,1.404
-0.509,-0.038,0.716,0.244,-3.418,2.136
-0.511,-0.037,0.745,-1.587,5.676,4.150
-0.525,-0.047,0.826,-4.456,13.611,6.653
-0.548,-0.070,0.917,-8.118,15.564,8.667
-0.554,-0.095,0.963,-12.390,10.254,9.216
-0.542,-0.120,0.950,-13.672,0.916,7.935
-0.537,-0.115,0.909,-10.620,-7.263,5.615

-2.176,0.054,0.781,6.287,21.362,62.988
-2.288,0.036,0.852,4.211,25.452,72.021
-2.401,0.032,0.828,2.686,20.935,79.285
-2.544,0.075,0.783,2.869,14.343,80.872
-2.684,0.162,0.725,4.639,7.263,78.369
-2.717,0.256,0.651,9.583,-1.831,79.346
-2.694,0.300,0.601,23.132,-11.047,88.318
-2.619,0.250,0.516,44.373,-20.996,103.882
-2.475,0.150,0.386,69.458,-32.410,120.972
-2.294,0.037,0.200,94.971,-40.527,131.348
-2.083,-0.005,0.085,114.563,-42.725,131.348
-1.828,-0.021,0.008,125.366,-44.250,128.784
-1.441,-0.071,-0.096,129.089,-50.171,128.967
-0.968,-0.104,-0.212,126.099,-57.434,130.249
-0.418,-0.088,-0.271,116.821,-58.167,131.714
0.111,0.005,-0.313,101.257,-48.889,134.155
0.709,0.029,-0.252,74.585,-30.273,135.071
1.462,0.001,-0.154,33.264,-0.854,136.841
2.436,-0.259,-0.010,-18.372,37.048,137.756
3.345,-0.771,0.165,-55.298,85.449,125.366
3.983,-1.035,0.615,-60.059,149.597,77.698
4.000,-0.713,1.398,-27.344,221.497,5.432
4.000,-0.038,2.275,29.053,276.184,-52.673
4.000,0.669,3.119,86.670,289.001,-67.383
3.924,1.156,3.954,134.277,262.756,-40.710
3.096,1.222,4.000,153.625,205.872,2.258
2.518,0.992,4.000,121.216,119.446,30.518
2.269,0.615,3.501,42.114,10.193,22.827
2.318,0.169,2.640,-52.368,-96.741,-7.507
2.536,-0.206,1.608,-131.165,-182.312,-36.865
2.585,-0.419,0.801,-164.185,-229.370,-50.293
2.355,-0.549,0.266,-143.677,-229.736,-48.950
1.960,-0.635,-0.018,-91.064,-202.026,-38.635
1.549,-0.675,-0.070,-31.921,-166.870,-25.513
1.157,-0.676,0.036,11.230,-132.080,-20.447
0.755,-0.641,0.175,25.818,-101.685,-26.306
0.433,-0.595,0.293,11.597,-77.637,-38.269
0.132,-0.517,0.367,-22.705,-58.105,-53.162
-0.194,-0.486,0.383,-66.650,-41.077,-68.237
-0.602,-0.500,0.329,-108.215,-26.489,-82.336
-0.851,-0.538,0.282,-135.803,-16.541,-96.619
-1.007,-0.551,0.225,-142.090,-11.719,-110.168
-1.271,-0.484,0.184,-124.390,-3.296,-122.314
-1.475,-0.367,0.254,-90.332,15.442,-133.179
-1.497,-0.194,0.428,-49.072,35.095,-140.991
-1.529,0.030,0.682,-10.376,45.654,-144.348
-1.575,0.186,0.859,16.113,45.898,-143.433
-1.560,0.274,0.887,25.635,36.377,-137.024
-1.527,0.290,0.773,22.095,21.912,-129.089
-1.379,0.261,0.629,13.428,12.512,-123.169
-1.336,0.238,0.506,8.667,15.442,-121.094
-1.276,0.225,0.434,8.484,31.250,-120.178
-1.285,0.242,0.457,12.268,53.406,-117.981
-1.375,0.243,0.540,18.372,75.195,-109.741
-1.384,0.189,0.645,18.921,86.731,-97.107
-1.308,0.102,0.754,11.414,84.106,-86.243
-1.210,0.045,0.816,-3.113,72.693,-81.970
-1.101,0.024,0.825,-20.203,61.462,-84.290
-1.034,0.039,0.830,-32.837,55.176,-89.783
-0.976,0.094,0.830,-35.278,53.711,-92.529
-0.944,0.162,0.840,-26.917,53.162,-90.332
-0.925,0.222,0.884,-11.597,53.223,-82.886
-0.940,0.274,0.934,3.418,50.964,-72.815
-0.914,0.323,0.977,12.451,44.128,-63.049
-0.925,0.366,1.020,13.306,34.424,-54.749
-0.891,0.392,1.011,5.615,23.254,-47.668
-0.855,0.404,0.990,-5.615,12.756,-42.664
-0.818,0.392,0.982,-15.137,6.592,-38.635
-0.787,0.349,0.979,-19.592,5.066,-35.156
-0.766,0.296,0.947,-17.944,6.409,-30.640
-0.766,0.243,0.962,-9.888,10.681,-22.522
-0.781,0.182,1.016,3.174,14.954,-10.925
-0.781,0.114,1.075,16.357,15.381,-0.549
-0.787,0.057,1.124,24.353,11.841,7.690
-0.784,0.004,1.153,24.475,4.883,12.024
-0.741,-0.039,1.135,18.494,-5.493,11.353
-0.671,-0.038,1.089,9.277,-16.052,6.653
-0.624,-0.006,1.024,0.916,-22.583,1.404
-0.569,0.016,0.950,-4.822,-24.353,-1.160
-0.523,0.029,0.879,-7.080,-21.362,-1.404
-0.495,0.038,0.848,-5.310,-15.137,1.282
-0.486,0.015,0.852,-0.549,-8.423,6.958
-0.471,-0.027,0.884,4.944,-4.333,13.916
-0.463,-0.067,0.943,9.033,-4.150,18.738
-0.462,-0.125,0.970,10.925,-7.568,20.935
-0.444,-0.149,0.957,8.972,-13.916,19.226
-0.431,-0.141,0.933,4.456,-18.921,14.587
-0.442,-0.114,0.889,-1.404,-21.301,8.484
-0.440,-0.071,0.838,-8.240,-21.851,3.540
-0.434,-0.039,0.793,-14.893,-19.531,0.793
-0.438,-0.020,0.763,-18.372,-14.099,0.793
-0.437,-0.023,0.751,-17.273,-7.141,4.150
-0.430,-0.032,0.773,-12.634,0.427,8.972
-0.444,-0.051,0.846,-7.263,7.568,12.878
-0.462,-0.082,0.937,-3.113,10.925,15.320
-0.472,-0.101,0.992,-0.671,7.141,14.954
-0.461,-0.103,1.014,0.488,-1.160,11.902
-0.461,-0.080,1.001,0.671,-9.521,7.568
-0.451,-0.044,0.961,0.549,-16.052,4.822
-0.445,-0.022,0.917,0.549,-19.653,4.517
-0.445,-0.026,0.865,-0.183,-19.592,5.859
-0.442,-0.048,0.818,-2.747,-16.357,7.202
-0.438,-0.070,0.782,-5.981,-10.803,7.263
-0.435,-0.070,0.787,-8.728,-3.967,5.432
-0.450,-0.059,0.818,-9.033,2.197,3.967
-0.453,-0.054,0.874,-6.958,5.493,3.662
-0.472,-0.053,0.940,-3.540,4.211,3.357
-0.480,-0.050,0.975,0.671,-0.977,2.441
-0.469,-0.038,0.968,5.493,-8.057,1.648
-0.470,-0.031,0.936,9.827,-14.038,1.038
-0.467,-0.013,0.892,11.047,-16.602,0.671
-0.463,0.005,0.865,9.644,-16.052,1.526
-0.471,0.002,0.835,7.080,-12.878,3.845
-0.461,-0.015,0.808,3.479,-8.789,6.348
-0.458,-0.036,0.800,0.183,-4.333,6.653
-0.460,-0.039,0.820,-2.747,0.488,5.371
-0.463,-0.038,0.856,-4.150,4.150,3.723
-0.471,-0.024,0.909,-3.601,4.578,2.625
-0.473,-0.011,0.952,-1.343,1.709,2.197

-1.762,0.059,0.855,8.240,-9.705,86.731
-1.946,0.067,0.817,3.723,-10.315,86.548
-2.142,0.090,0.785,-4.578,-8.179,83.313
-2.331,0.165,0.806,-14.587,-3.052,79.224
-2.458,0.252,0.895,-20.264,2.502,77.087
-2.465,0.355,0.952,-16.846,6.653,80.322
-2.473,0.437,0.960,-4.639,9.705,91.614
-2.464,0.485,0.931,12.512,10.315,106.018
-2.429,0.469,0.879,26.978,1.648,118.713
-2.356,0.414,0.757,37.415,-19.226,127.197
-2.288,0.368,0.528,48.950,-50.476,130.371
-2.214,0.336,0.240,55.969,-84.045,128.174
-2.124,0.295,-0.084,53.711,-111.694,122.070
-1.996,0.258,-0.409,47.974,-128.723,115.662
-1.751,0.184,-0.696,52.917,-134.949,114.929
-1.437,0.158,-0.883,80.566,-129.089,122.498
-1.105,0.108,-0.868,127.686,-110.046,139.343
-0.705,-0.073,-0.738,172.363,-84.167,158.813
-0.227,-0.271,-0.527,184.875,-57.007,169.739
0.444,-0.510,-0.247,153.870,-29.663,170.776
1.219,-0.726,0.035,94.055,-2.563,160.217
2.165,-0.895,0.459,34.485,33.691,144.592
2.810,-0.999,0.897,8.423,84.839,136.108
3.307,-0.975,1.299,0.549,135.925,128.113
3.815,-0.617,2.036,-1.160,179.932,113.159
4.000,-0.411,2.883,8.606,219.360,91.003
4.000,-0.218,3.499,8.423,242.737,59.753
3.891,0.340,3.996,-9.277,242.004,8.850
3.257,1.073,4.000,-34.790,205.688,-43.701
2.732,1.537,4.000,-60.852,121.277,-67.261
2.488,1.473,3.800,-79.468,6.714,-51.392
2.419,1.054,2.929,-93.323,-104.004,-17.456
2.388,0.536,1.944,-104.248,-188.110,9.399
2.435,0.082,1.104,-100.098,-236.023,26.184
2.300,-0.256,0.505,-75.012,-241.577,36.438
1.974,-0.495,0.183,-35.767,-210.266,42.664
1.593,-0.611,0.140,3.357,-166.931,43.030
