aX,aY,aZ,gX,gY,gZ
-1.292,0.428,0.326,-29.968,-34.729,-118.042
-1.343,0.414,0.412,-32.349,-24.353,-101.074
-1.388,0.336,0.511,-38.208,-25.146,-84.656
-1.392,0.218,0.527,-36.865,-32.532,-73.059
-1.379,0.155,0.489,-24.536,-42.847,-68.604
-1.316,0.150,0.420,-2.991,-49.866,-70.618
-1.266,0.247,0.338,18.799,-50.110,-74.890
-1.207,0.411,0.262,31.250,-44.983,-76.660
-1.160,0.548,0.229,28.259,-36.987,-74.219
-1.133,0.618,0.244,13.184,-27.222,-66.406
-1.109,0.644,0.297,-3.906,-19.470,-54.077
-1.103,0.590,0.363,-17.761,-17.273,-43.640
-1.082,0.510,0.414,-24.719,-21.179,-32.898
-1.063,0.436,0.410,-20.203,-28.809,-22.461
-1.032,0.396,0.374,-5.249,-34.058,-12.817
-1.001,0.387,0.335,14.832,-35.278,-4.333
-0.963,0.383,0.282,31.860,-31.738,2.197
-0.944,0.386,0.237,40.161,-23.804,6.653
-0.916,0.398,0.249,38.452,-13.611,9.155
-0.881,0.392,0.307,28.198,-4.639,9.399
-0.868,0.373,0.375,14.343,0.427,7.446
-0.863,0.381,0.477,2.808,1.648,4.089
-0.860,0.359,0.530,-4.761,-2.075,1.953
-0.870,0.327,0.540,-8.118,-8.545,1.892
-0.860,0.303,0.526,-3.540,-14.038,2.808
-0.842,0.304,0.512,7.324,-16.663,2.869
-0.819,0.327,0.479,17.578,-15.869,1.953
-0.806,0.378,0.463,21.179,-11.047,0.916
-0.802,0.415,0.479,16.357,-5.188,1.343
-0.798,0.411,0.500,5.920,-1.099,2.075
-0.807,0.393,0.539,-4.272,0.488,1.953
-0.814,0.359,0.568,-10.803,-0.427,1.831
-0.822,0.321,0.582,-13.489,-3.967,2.197
-0.820,0.290,0.559,-11.292,-7.751,0.977
-0.817,0.275,0.519,-5.249,-10.498,-1.038
-0.797,0.277,0.478,4.211,-11.169,-2.563
-0.777,0.289,0.450,15.137,-8.728,-3.601
-0.760,0.322,0.428,21.484,-3.967,-4.883
-0.750,0.376,0.435,20.630,1.953,-5.798
-0.748,0.401,0.469,11.780,7.996,-5.981
-0.768,0.407,0.520,-1.221,11.597,-5.371
-0.789,0.420,0.576,-10.376,12.024,-4.700
-0.800,0.413,0.610,-15.076,8.484,-2.502
-0.802,0.400,0.607,-14.404,2.197,1.587
-0.798,0.390,0.574,-7.202,-2.625,6.348
-0.787,0.386,0.538,2.869,-5.310,11.353
-0.772,0.385,0.499,11.719,-5.737,14.282
-0.758,0.378,0.462,16.602,-3.479,15.381
-0.749,0.371,0.445,16.968,0.122,14.282
-0.745,0.371,0.446,12.756,4.089,11.292
-0.743,0.382,0.470,4.028,7.141,7.874

