aX,aY,aZ,gX,gY,gZ
-1.053,0.845,0.379,-246.521,-79.407,-77.454
-1.052,0.830,0.357,-240.784,-84.534,-77.087
-1.097,0.811,0.296,-236.450,-89.905,-75.378
-1.198,0.831,0.225,-233.093,-94.788,-74.097
-1.239,0.954,0.158,-230.408,-96.558,-77.698
-1.230,1.117,0.084,-225.342,-94.910,-86.670
-1.237,1.226,0.031,-216.370,-91.309,-96.680
-1.240,1.324,-0.002,-204.529,-86.365,-100.159
-1.245,1.412,-0.005,-189.819,-79.895,-94.360
-1.220,1.448,0.002,-172.424,-71.716,-83.130
-1.184,1.483,0.032,-152.832,-62.500,-69.458
-1.116,1.500,0.060,-130.859,-53.528,-57.312
-1.045,1.466,0.071,-107.544,-46.204,-49.133
-0.988,1.396,0.066,-85.205,-41.504,-43.396
-0.950,1.308,0.055,-66.162,-38.757,-38.147
-0.912,1.215,0.038,-51.758,-36.743,-31.860
-0.863,1.103,-0.001,-42.542,-34.424,-24.231
-0.838,1.008,-0.042,-38.940,-32.166,-16.541
-0.810,0.942,-0.076,-39.063,-29.480,-11.169
-0.751,0.906,-0.117,-41.382,-25.696,-9.460
-0.701,0.882,-0.144,-45.105,-22.339,-9.888
-0.690,0.891,-0.153,-49.927,-20.264,-10.315
-0.669,0.943,-0.139,-54.382,-18.799,-8.667
-0.608,1.001,-0.146,-56.152,-18.677,-5.127
-0.602,1.046,-0.118,-52.917,-21.790,-1.221
-0.601,1.035,-0.117,-45.776,-26.184,3.113
-0.610,1.002,-0.128,-37.537,-29.968,6.775
-0.628,0.976,-0.144,-30.273,-32.166,10.132
-0.629,0.958,-0.162,-24.719,-31.677,12.390
-0.628,0.942,-0.178,-18.677,-29.968,13.550
-0.615,0.926,-0.173,-12.512,-27.344,13.672
-0.567,0.906,-0.163,-6.714,-24.353,14.099
-0.528,0.878,-0.168,-2.380,-23.132,16.174
-0.541,0.849,-0.159,-0.122,-24.353,19.775
-0.573,0.816,-0.168,0.305,-25.269,21.790
-0.599,0.780,-0.167,-0.793,-23.926,20.935
-0.597,0.766,-0.164,-3.357,-20.508,18.616
-0.589,0.767,-0.165,-6.226,-16.541,16.113
-0.583,0.774,-0.154,-8.789,-12.329,13.367
-0.561,0.790,-0.143,-10.437,-8.057,10.437

-1.468,1.129,-0.262,98.877,40.100,9.460
-1.603,1.224,-0.303,118.713,45.044,9.094
-1.838,1.297,-0.349,142.944,49.377,7.263
-2.118,1.322,-0.419,170.776,54.626,5.737
-2.298,1.364,-0.480,199.707,62.073,7.019
