aX,aY,aZ,gX,gY,gZ
0.213,0.121,0.653,-64.453,-100.403,-100.037
0.195,0.150,0.640,-68.115,-109.070,-105.408
0.174,0.195,0.615,-72.266,-117.859,-110.901
0.092,0.254,0.592,-76.294,-127.075,-115.356
-0.044,0.302,0.595,-78.979,-134.705,-118.286
-0.145,0.331,0.581,-80.017,-138.245,-119.080
-0.202,0.318,0.560,-80.078,-137.695,-117.920
-0.214,0.314,0.539,-80.566,-135.925,-113.953
-0.166,0.329,0.521,-80.933,-135.010,-109.070
-0.105,0.339,0.493,-80.566,-137.695,-106.506
-0.092,0.342,0.476,-80.200,-145.081,-108.093
-0.144,0.367,0.443,-80.505,-154.602,-112.427
-0.248,0.389,0.405,-81.543,-163.940,-116.394
-0.377,0.400,0.375,-82.825,-170.166,-117.737
-0.502,0.422,0.356,-84.229,-171.997,-117.310
-0.591,0.445,0.346,-84.900,-168.945,-116.760
-0.606,0.485,0.337,-84.534,-162.720,-115.784
-0.567,0.523,0.327,-82.092,-156.433,-114.075
-0.511,0.554,0.309,-77.637,-152.832,-112.305
-0.469,0.570,0.296,-72.083,-152.771,-111.450
-0.429,0.562,0.276,-66.711,-155.823,-111.877
-0.434,0.528,0.254,-63.354,-161.560,-112.671
-0.469,0.478,0.209,-63.599,-168.274,-113.220
-0.535,0.455,0.143,-67.627,-174.988,-115.234
-0.663,0.464,0.111,-75.012,-180.298,-118.591
-0.765,0.500,0.096,-84.290,-181.335,-121.338
-0.817,0.551,0.068,-92.590,-176.453,-122.070
-0.819,0.621,0.053,-99.060,-168.640,-120.850
-0.786,0.702,0.047,-101.746,-160.522,-117.615
-0.719,0.775,0.044,-99.792,-153.564,-114.380
-0.663,0.849,0.050,-93.018,-149.963,-111.511
-0.633,0.867,0.042,-82.397,-149.475,-108.093

-1.083,1.307,-0.167,-42.664,-82.336,-93.201
-1.092,1.297,-0.150,-31.799,-70.007,-88.135
-1.098,1.289,-0.129,-22.095,-58.838,-82.153
-1.081,1.266,-0.111,-13.245,-49.866,-75.317
-1.054,1.270,-0.099,-6.042,-43.945,-67.871
-1.013,1.263,-0.100,0.244,-41.077,-59.937
-0.987,1.241,-0.100,6.042,-40.955,-53.101
-0.958,1.204,-0.110,10.254,-41.199,-48.218
-0.926,1.174,-0.130,12.024,-40.955,-45.410
-0.917,1.146,-0.146,11.047,-39.612,-43.701
